10000,141.740999937,linear,0.738161559889
9000,113.920000076,linear,0.707520891365
8000,97.5429999828,linear,0.707520891365
7000,75.388999939,linear,0.699164345404
6000,57.2699999809,linear,0.715877437326
5000,44.998000145,linear,0.715877437326
4000,30.6240000725,linear,0.707520891365
3000,17.3090000153,linear,0.690807799443
2000,10.1719999313,linear,0.688022284123
1000,6.97299981117,linear,0.696378830084
10000,213.271999836,rbf,0.649025069638
9000,165.808000088,rbf,0.632311977716
8000,142.321000099,rbf,0.623955431755
7000,105.654000044,rbf,0.604456824513
6000,79.6979999542,rbf,0.612813370474
5000,58.6860001087,rbf,0.537604456825
4000,41.6840000153,rbf,0.532033426184
3000,24.7020001411,rbf,0.495821727019
2000,12.8580000401,rbf,0.0529247910864
1000,6.86800003052,rbf,0.0389972144847
10000,176.288000107,poly,0.0
9000,132.110999823,poly,0.0
8000,105.372999907,poly,0.0
7000,80.871999979,poly,0.493036211699
6000,61.7019999027,poly,0.0
5000,45.6769998074,poly,0.0
4000,32.8679997921,poly,0.0
3000,18.9200000763,poly,0.493036211699
2000,10.2350001335,poly,0.0
1000,6.92100000381,poly,0.506963788301
